IDs,Author Key,DOI
,PROMICE,https://doi.org/10.34194/GEUSB-201943-02-02
152,Bevan,https://doi.org/10.5194/tc-13-2303-2019
,Bevan,https://doi.org/10.5194/tc-6-923-2012
,Brough,https://doi.org/10.3389/feart.2019.00123
,Bjork,https://doi.org/10.1038/ngeo1481
,Black_Taryn,"DOI TBD, https://doi.org/10.5067/DC0MLBOCL3EL"
,Bunce,https://doi.org/10.1017/jog.2018.44
"21,22,23,24,25,26,27,28,29,30",Carr,https://doi.org/10.1002/jgrf.20088
,Carr,https://doi.org/10.3189/2015JoG14J128
85,Carr,https://doi.org/10.1017/aog.2017.3
,Catania,https://doi.org/10.1029/2017jf004499
,Cheng,https://doi.org/10.5194/tc-2020-231
,Sole,https://doi.org/10.1073/pnas.1801769115
,Fahrner,https://doi.org/10.1017/jog.2021.13
,,
,Hill,https://doi.org/10.5194/tc-12-3243-2018
,,
,Korsgaard,https://doi.org/10.22008/FK2/B2JYVC
,Moon_Twila,"https://doi.org/10.1029/2007jf000927, https://doi.org/10.5067/DC0MLBOCL3EL"
,Murray,https://doi.org/10.1657/aaar0014-049
,ESA,https://doi.org/10.1016/j.gloplacha.2006.07.018
,Wood,https://doi.org/10.1126/sciadv.aba7282
,Zhang,https://doi.org/10.5194/tc-13-1729-2019
